# Constructed from biom file
#OTU ID	A2511	J2515	taxonomy
36ced6d7e229be21b5ac7d3a85b51b2b	53.0	43.0	Bacteria; Nitrospinae; Nitrospinia; Nitrospinales; Nitrospinaceae; LS-NOB; 
d64611b0b511efd3d4bc463c9eaba034	54.0	43.0	Archaea; Thaumarchaeota; Nitrososphaeria; Nitrosopumilales; Nitrosopumilaceae; ; 
822f84c3b1d31afe3ccaafe28cfc0f2e	512.0	878.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Ascidiaceihabitans; 
bc5593081c603faf9990d8f73ccce91d	217.0	99.0	Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; uncultured; uncultured organism
d3df483cbb13c7f8c70820fb7e1e6230	6.0	0.0	Bacteria; Actinobacteria; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Patulibacter; Patulibacter minatonensis
0914347d5afe550f2a12ea4f80b3f165	0.0	17.0	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Cryomorphaceae; uncultured; 
139ad7417ef0dfb630699faea2eb5e06	73.0	95.0	Archaea; Thaumarchaeota; Nitrososphaeria; Nitrosopumilales; Nitrosopumilaceae; ; 
1271ffedb677dacceaeb91ec0e6a6d0d	25.0	6.0	Archaea; Euryarchaeota; Thermoplasmata; Marine Group III; uncultured marine archaeon; uncultured marine archaeon; uncultured marine archaeon
08d9aea2b17a9615e9cd313df5e35810	0.0	30.0	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bacteriovoracaceae; ; 
43d87801069220664c1981be9255d43a	459.0	965.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Ascidiaceihabitans; uncultured bacterium
675c983fa9c5e69b6878a2e5e7cffee5	0.0	3.0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Arctic97B-4 marine group; metagenome; metagenome; metagenome
25918f634c09835e79130f1b6b2961e0	4.0	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; OM27 clade; 
661be535f3328661192cbe6bcd73970a	0.0	3.0	Bacteria; Armatimonadetes; Armatimonadia; Armatimonadales; ; ; 
4a463cf1078abec2bd4e780c9b88fad0	0.0	11.0	Bacteria; Proteobacteria; Deltaproteobacteria; SAR324 clade(Marine group B); uncultured delta proteobacterium Sva0853; uncultured delta proteobacterium Sva0853; uncultured delta proteobacterium Sva0853
8d5bbc9fe4276e3f20bcfba704e8859f	73.0	67.0	Archaea; Thaumarchaeota; Nitrososphaeria; Nitrosopumilales; Nitrosopumilaceae; Candidatus Nitrosopumilus; 
